,title,type,metro_distance,square,price,floor,floors,district,station
70,合租·名都新城（一期、二期）3居室-南卧,合租,32,24,2490,1,11,闵行区,莘庄
71,合租·东明广场4居室-南卧,合租,396,20,4860,15,26,浦东新区,商城路
72,合租·金铭福邸4居室-南卧,合租,133,19,1890,6,6,闵行区,金平路
73,合租·好世凤凰城4居室-南卧,合租,330,18,2390,4,7,闵行区,银都路
74,合租·上泰花苑3居室-南卧,合租,237,18,2990,4,6,浦东新区,德平路
75,合租·新泾二村3居室-南卧,合租,161,19,3390,4,6,长宁区,北新泾
76,合租·民东公寓3居室-南卧,合租,476,19,2330,4,7,嘉定区,南翔
77,合租·巴黎之春3居室-南卧,合租,542,17,2890,4,7,普陀区,上海西
78,合租·莘城公寓4居室-南卧,合租,454,18,2530,3,6,闵行区,莘庄
79,合租·耀华路210-222号(双)2居室-南卧,合租,286,18,3560,3,6,浦东新区,长清路
80,合租·沪昌公寓3居室-南卧,合租,213,18,3560,16,19,杨浦区,江湾体育场
81,整租·龙潭小区2室1厅-南,整租,713,90,8490,2,6,宝山区,大华三路
82,合租·建华新苑4居室-南卧,合租,279,18,4390,15,17,浦东新区,世纪公园
83,合租·民乐佳苑一区4居室-南卧,合租,491,21,1490,5,6,青浦区,漕盈路
84,合租·鞍山四村第三小区2居室-东南卧,合租,384,19,3290,4,5,杨浦区,鞍山新村
85,合租·中远两湾城4居室-南卧,合租,459,14,4530,9,27,普陀区,中潭路
86,合租·巴黎之春3居室-南卧,合租,542,19,2790,1,8,普陀区,上海西
87,合租·长虹小区2居室-南卧,合租,292,17,3560,5,6,长宁区,虹桥路
88,合租·新梅共和城4居室-南卧,合租,274,20,3460,2,14,静安区,上海马戏城
89,合租·逸景佳苑5居室-南卧,合租,634,26,2960,1,12,宝山区,殷高西路
90,合租·塘东小区2居室-南卧,合租,175,16,3360,2,6,浦东新区,蓝村路
91,合租·幸运福邸4居室-南卧,合租,187,22,4230,30,32,黄浦区,陆家浜路
92,合租·丽都城假日景苑4居室-南卧,合租,374,19,2090,6,6,闵行区,金平路
93,合租·枫桥苑3居室-南卧,合租,201,23,3690,10,11,普陀区,枫桥路
